product_id,product_name,category_id,base_price,is_discontinued
1,Classic Rice 001,8,7.55,0
2,Classic Curry 002,15,19.87,0
3,Classic Basil 003,9,29.31,0
4,Salted Cereal 004,8,6.59,0
5,Natural Espresso 005,13,61.34,0
6,Organic Stew 006,15,25.56,0
7,Imported Espresso 007,13,66.03,0
8,Craft Salmon 008,3,23.95,0
9,Premium Pasta 009,8,34.48,0
10,Family Cod 010,3,108.56,0
11,Imported Pretzels 011,11,25.0,0
12,Imported Bread 012,5,6.71,0
13,Local Napkins 013,12,29.7,0
14,Craft Vegetables 014,10,10.2,0
15,Premium Paprika 015,9,18.12,0
16,Salted Carrot 016,7,15.88,0
17,Natural Yogurt 017,2,12.51,0
18,Fresh Black Tea 018,13,43.78,0
19,Craft Muffin 019,5,19.21,0
20,Organic Pasta 020,8,32.4,0
21,Premium Crackers 021,11,2.74,0
22,Organic Tuna 022,3,32.29,0
23,Fresh Napkins 023,12,76.2,0
24,Local Soda 024,1,4.68,0
25,Imported Biscuit 025,6,43.76,0
26,Imported Vegetables 026,10,9.8,0
27,Traditional Bread 027,5,22.68,0
28,Golden Soap 028,12,8.38,0
29,Golden Sausage 029,4,24.08,0
30,Family Herring 030,3,34.67,0
31,Fresh Potato 031,7,16.92,0
32,Family Flour 032,8,27.03,0
33,Sweet Salad 033,15,19.47,0
34,Traditional Coffee 034,1,24.52,0
35,Local Muffin 035,5,21.91,0
36,Traditional Shrimp 036,3,109.39,0
37,Craft Bacon 037,4,40.97,0
38,Dried Mustard 038,14,25.27,0
39,Organic Salad 039,15,30.21,0
40,Premium Carrot 040,7,14.8,0
41,Salted Vinegar 041,14,16.57,0
42,Premium Cereal 042,8,8.94,0
43,Fresh Basil 043,9,41.9,0
44,Local Dumplings 044,10,40.78,0
45,Premium Black Tea 045,13,54.78,0
46,Organic Napkins 046,12,17.61,0
47,Smoked Cleaner 047,12,73.15,0
48,Natural Caramel 048,6,8.32,0
49,Dried Pasta 049,8,26.93,0
50,Traditional Juice 050,1,16.01,0
51,Fresh Dessert 051,10,15.29,0
52,Fresh Muffin 052,5,14.11,0
53,Golden Muffin 053,5,9.71,0
54,Golden Muffin 054,5,23.36,0
55,Golden Herring 055,3,15.42,1
56,Organic Pasta 056,8,18.95,0
57,Craft Bags 057,12,10.67,0
58,Traditional Candy 058,6,20.14,1
59,Classic Bags 059,12,50.45,0
60,Organic Milk 060,2,11.74,0
61,Imported Soda 061,1,14.34,1
62,Natural Butter 062,2,6.81,0
63,Traditional Soup 063,15,31.69,0
64,Natural Lasagna 064,15,73.19,0
65,Salted Paprika 065,9,21.89,0
66,Golden Cleaner 066,12,31.65,0
67,Local Cereal 067,8,22.95,0
68,Dried Tuna 068,3,41.59,0
69,Imported Shrimp 069,3,14.11,0
70,Premium Chocolate 070,6,17.19,0
