order_id,line_no,product_id,unit_price,quantity,discount
100001,1,1,27.27,3,0.0
100002,1,45,12.54,1,0.0
100002,2,56,30.7,9,0.0
100002,3,112,73.05,2,0.2
100002,4,53,28.73,4,0.0
100003,1,63,43.25,1,0.05
100004,1,44,14.29,5,0.0
100004,2,13,35.55,1,0.0
100004,3,4,6.51,4,0.0
100005,1,21,30.57,6,0.0
100005,2,70,12.9,6,0.0
100005,3,61,23.62,4,0.03
100005,4,3,58.65,4,0.0
100005,5,2,28.65,2,0.05
100005,6,66,8.32,4,0.0
100006,1,67,33.94,3,0.0
100007,1,4,7.16,5,0.0
100007,2,60,11.7,7,0.05
100007,3,72,8.06,5,0.05
100007,4,81,25.59,3,0.0
100007,5,98,12.15,8,0.05
100008,1,78,9.94,2,0.15
100008,2,90,51.32,14,0.0
100008,3,95,20.4,1,0.0
100009,1,59,21.43,3,0.0
100009,2,97,15.42,2,0.0
100009,3,34,24.84,2,0.15
100010,1,40,23.15,9,0.0
100010,2,59,23.29,4,0.0
100010,3,108,31.0,7,0.0
100010,4,32,18.26,3,0.0
100011,1,25,12.16,5,0.0
100011,2,79,20.07,2,0.0
100011,3,94,29.05,1,0.03
100012,1,76,23.1,13,0.0
100012,2,58,7.55,5,0.05
100012,3,92,24.59,6,0.0
100013,1,33,12.24,2,0.0
100013,2,110,27.41,5,0.1
100013,3,107,40.39,4,0.03
100013,4,75,16.01,2,0.0
100014,1,71,6.51,5,0.1
100014,2,53,22.89,2,0.0
100015,1,58,6.81,5,0.1
100015,2,5,24.35,10,0.05
100015,3,63,37.66,6,0.0
100015,4,25,11.89,2,0.0
100015,5,94,29.64,8,0.0
100016,1,83,31.58,10,0.1
100016,2,108,37.53,5,0.03
100016,3,9,24.67,3,0.0
100017,1,71,6.89,2,0.15
100017,2,97,14.54,10,0.0
100017,3,106,22.5,1,0.0
100017,4,20,31.4,11,0.0
100018,1,104,23.34,4,0.0
100018,2,81,27.32,3,0.0
100018,3,101,24.88,2,0.0
100018,4,79,18.36,5,0.15
100019,1,32,19.55,6,0.05
100019,2,71,7.13,3,0.1
100019,3,88,40.39,1,0.15
100019,4,108,37.66,4,0.2
100019,5,45,13.06,3,0.1
100020,1,87,26.86,4,0.1
100020,2,52,48.9,3,0.0
100021,1,71,6.91,6,0.0
100021,2,3,55.11,5,0.0
100021,3,72,9.78,1,0.1
100022,1,65,10.38,15,0.03
100022,2,118,19.48,5,0.1
100022,3,40,28.57,3,0.05
100022,4,116,39.71,5,0.05
100022,5,31,5.35,4,0.0
100022,6,98,12.31,1,0.1
100023,1,81,26.15,8,0.15
100023,2,45,12.04,6,0.0
100023,3,40,24.41,4,0.0
100024,1,114,25.74,2,0.03
100025,1,80,23.84,3,0.15
100026,1,32,16.39,4,0.05
100026,2,81,23.67,3,0.05
100026,3,45,13.58,12,0.0
100027,1,71,7.23,2,0.15
100027,2,72,8.35,11,0.0
100027,3,10,54.44,5,0.0
100027,4,14,26.13,3,0.0
100028,1,89,18.0,1,0.1
100028,2,112,90.16,5,0.15
100028,3,108,40.92,3,0.0
100028,4,13,39.6,4,0.03
100028,5,15,11.15,4,0.1
100028,6,97,14.33,2,0.0
100029,1,110,26.19,4,0.0
100029,2,116,38.63,6,0.05
100029,3,97,14.85,1,0.03
100029,4,101,26.16,3,0.0
100030,1,24,47.87,6,0.0
100030,2,81,23.39,5,0.05
100030,3,54,22.42,6,0.0
100030,4,7,14.32,7,0.0
100030,5,75,18.9,6,0.0
100031,1,70,12.24,9,0.15
100032,1,49,27.99,3,0.0
100032,2,110,26.42,2,0.0
100032,3,85,28.08,3,0.05
100033,1,45,12.22,3,0.1
100033,2,114,26.27,3,0.1
100033,3,81,27.02,4,0.1
100033,4,72,8.65,2,0.15
100034,1,81,25.45,4,0.2
100035,1,116,36.97,3,0.05
100035,2,75,18.24,10,0.0
100035,3,53,23.5,4,0.0
100035,4,113,9.63,2,0.2
100035,5,85,30.04,3,0.0
100035,6,37,16.5,3,0.05
100036,1,52,40.49,2,0.0
100036,2,109,3.87,2,0.15
100036,3,89,14.81,5,0.15
100037,1,17,17.21,4,0.03
100037,2,44,14.39,6,0.1
100037,3,97,13.99,6,0.05
100038,1,19,27.41,9,0.0
100038,2,3,62.13,4,0.0
100038,3,68,30.66,6,0.0
100039,1,84,14.48,4,0.0
100039,2,71,6.46,5,0.0
100039,3,8,5.44,2,0.0
100040,1,104,27.26,9,0.0
100040,2,80,24.84,2,0.0
100040,3,49,26.29,7,0.0
100041,1,67,29.61,1,0.1
100041,2,5,24.94,1,0.0
100041,3,43,35.66,12,0.0
100041,4,15,11.86,6,0.0
100041,5,82,7.47,5,0.0
100042,1,99,27.85,3,0.0
100042,2,24,49.33,3,0.03
100043,1,15,11.07,3,0.0
100043,2,27,7.11,2,0.03
100043,3,45,12.54,6,0.15
100043,4,67,30.85,1,0.0
100043,5,14,22.71,3,0.0
100044,1,3,60.18,3,0.0
100044,2,80,25.11,2,0.0
100045,1,32,20.31,1,0.0
100045,2,71,7.04,3,0.0
100045,3,106,20.14,5,0.0
100045,4,104,24.54,10,0.0
100045,5,45,11.79,4,0.0
100045,6,39,131.61,4,0.15
100045,7,83,26.98,5,0.05
100046,1,113,9.38,5,0.03
100046,2,97,15.3,6,0.05
100046,3,27,9.62,2,0.0
100046,4,63,35.64,3,0.03
100047,1,79,19.14,1,0.0
100047,2,113,10.48,3,0.05
100047,3,75,19.43,5,0.1
100047,4,25,12.2,4,0.0
100048,1,27,8.77,7,0.0
100048,2,45,12.52,6,0.0
100049,1,56,26.37,1,0.05
100049,2,40,22.7,2,0.0
100049,3,67,31.97,5,0.03
100050,1,81,23.2,5,0.05
100050,2,45,12.0,2,0.0
100050,3,49,24.4,3,0.0
100050,4,100,62.33,3,0.15
100050,5,65,12.06,7,0.0
100050,6,12,77.82,5,0.1
100051,1,65,12.99,6,0.0
100051,2,94,30.53,4,0.1
100051,3,105,5.15,6,0.0
100052,1,97,13.59,1,0.05
100052,2,24,43.1,4,0.0
100052,3,81,20.27,3,0.0
100052,4,106,22.98,2,0.0
100052,5,56,25.91,6,0.1
100052,6,66,6.79,6,0.1
100053,1,113,10.89,4,0.0
100053,2,49,22.99,2,0.0
100053,3,45,12.06,1,0.03
100053,4,52,47.86,3,0.0
100054,1,20,33.0,3,0.0
100055,1,86,32.06,5,0.0
100055,2,31,5.55,5,0.05
100055,3,14,26.55,2,0.0
100056,1,24,50.64,3,0.0
100056,2,45,10.56,1,0.0
100056,3,114,24.17,3,0.0
100056,4,79,17.64,2,0.0
100056,5,117,9.78,1,0.0
100057,1,45,12.28,16,0.0
100057,2,72,8.77,5,0.03
100057,3,116,39.94,6,0.05
100057,4,99,26.13,4,0.0
100057,5,58,7.96,1,0.1
100057,6,21,28.42,1,0.15
100058,1,51,42.71,5,0.05
100058,2,69,4.31,4,0.05
100058,3,114,27.12,5,0.0
100059,1,110,21.38,4,0.0
100060,1,21,26.11,5,0.0
100060,2,24,53.16,5,0.2
100061,1,72,9.37,2,0.03
100061,2,28,6.71,2,0.15
100061,3,69,3.54,9,0.0
100062,1,108,41.05,5,0.0
100062,2,9,25.89,2,0.05
100062,3,51,40.09,2,0.0
