customer_id,company_name,country,city,customer_type,registration_date,phone
1,Urban Restaurant 00001,Germany,Frankfurt,retail,2021-01-01,+39 348 578 422
2,Royal Deli 00002,United Kingdom,Bristol,wholesale,2021-01-02,+34 413 571 963
3,West Cafe 00003,Spain,Bilbao,retail,2021-01-03,+34 241 217 690
4,Baltic Deli 00004,Italy,Turin,horeca,2021-01-07,+33 174 868 391
5,Amber Distribution 00005,Poland,Wroclaw,retail,2021-01-08,+44 145 073 670
6,Central Gourmet 00006,Poland,Gdansk,wholesale,2021-01-21,+1 433 790 294
7,Green Gourmet 00007,Germany,Cologne,retail,2021-01-30,+44 405 443 273
8,North Foods 00008,Sweden,Uppsala,wholesale,2021-02-02,+44 906 875 500
9,Central Restaurant 00009,Spain,Barcelona,wholesale,2021-02-03,+49 111 080 762
10,Green Cafe 00010,Poland,Gdansk,online,2021-02-04,+34 933 928 517
11,Alfa Deli 00011,France,Toulouse,retail,2021-02-06,+49 459 861 063
12,West Foods 00012,Sweden,Stockholm,horeca,2021-02-12,+34 741 031 162
13,Beta Market 00013,Italy,Florence,wholesale,2021-02-21,+49 319 670 137
14,Fresh Stores 00014,Netherlands,Eindhoven,wholesale,2021-02-22,+49 470 808 737
15,Urban Restaurant 00015,Spain,Seville,horeca,2021-02-26,+48 272 229 073
16,Urban Partners 00016,Sweden,Uppsala,retail,2021-03-06,+33 380 686 040
17,East Market 00017,France,Lyon,wholesale,2021-03-07,+39 162 824 060
18,Gamma Deli 00018,Sweden,Malmo,retail,2021-03-10,+1 901 458 101
19,Prime Distribution 00019,USA,Denver,wholesale,2021-03-17,+44 697 361 589
20,Delta Foods 00020,Netherlands,Rotterdam,wholesale,2021-03-19,+33 027 694 074
21,Baltic Foods 00021,Canada,Vancouver,online,2021-03-19,+39 866 973 548
22,Alfa Gourmet 00022,USA,New York,horeca,2021-03-19,+33 005 735 506
23,Baltic Kitchen 00023,USA,Chicago,horeca,2021-03-23,+48 644 909 518
24,Silver Foods 00024,Poland,Warsaw,retail,2021-03-26,+39 944 983 685
25,Delta Group 00025,Netherlands,Amsterdam,horeca,2021-03-26,+48 741 461 647
26,Urban Kitchen 00026,USA,Chicago,distributor,2021-03-29,+34 689 227 913
27,East Market 00027,Poland,Krakow,retail,2021-03-30,+34 710 066 657
28,Green Market 00028,USA,Chicago,horeca,2021-03-31,+49 723 078 237
29,Gamma Trading 00029,USA,Chicago,retail,2021-04-06,+44 828 492 611
30,North Supplies 00030,Germany,Frankfurt,retail,2021-04-06,+49 111 066 794
31,Euro Cafe 00031,Canada,Montreal,retail,2021-04-07,+39 848 295 323
32,Euro Cafe 00032,United Kingdom,Manchester,retail,2021-04-11,+39 883 294 850
33,Central Wholesale 00033,USA,Seattle,retail,2021-04-15,+1 996 443 249
34,Euro Cafe 00034,Canada,Vancouver,horeca,2021-04-17,+1 899 918 339
35,Global Market 00035,USA,Seattle,online,2021-04-18,+48 369 353 029
36,Central Cafe 00036,Germany,Cologne,online,2021-05-07,+49 343 290 417
37,North Gourmet 00037,Spain,Valencia,horeca,2021-05-13,+48 367 989 690
38,Euro Wholesale 00038,Netherlands,Amsterdam,retail,2021-05-14,+48 799 563 765
39,Gamma Kitchen 00039,Poland,Wroclaw,online,2021-05-17,+44 556 555 746
40,Prime Partners 00040,Italy,Florence,retail,2021-05-19,+1 372 700 019
41,Central Foods 00041,Germany,Hamburg,retail,2021-05-26,+44 563 921 104
42,Delta Deli 00042,Poland,Lodz,retail,2021-05-26,+44 663 891 573
43,West Restaurant 00043,Germany,Frankfurt,retail,2021-05-27,+1 533 314 706
44,Green Cafe 00044,Spain,Madrid,horeca,2021-05-29,+1 506 854 671
45,Baltic Gourmet 00045,Netherlands,Rotterdam,retail,2021-05-30,+34 140 018 533
46,Beta Partners 00046,Germany,Hamburg,wholesale,2021-05-31,+39 787 752 666
47,North Group 00047,France,Paris,retail,2021-06-08,+49 106 759 339
48,Urban Cafe 00048,USA,Denver,wholesale,2021-06-11,+49 913 563 194
49,Gamma Foods 00049,Canada,Montreal,horeca,2021-06-13,+49 700 857 292
50,Royal Partners 00050,Poland,Wroclaw,distributor,2021-06-13,+49 685 707 364
51,Nova Market 00051,Austria,Graz,wholesale,2021-06-15,+1 968 113 780
52,Nova Market 00052,Canada,Vancouver,retail,2021-06-17,+48 454 157 241
53,Baltic Deli 00053,Czech Republic,Ostrava,distributor,2021-06-18,+1 181 258 242
54,East Group 00054,France,Marseille,distributor,2021-06-21,+33 168 996 978
55,North Kitchen 00055,USA,Seattle,online,2021-06-22,+49 374 865 924
56,Central Cafe 00056,Poland,Poznan,wholesale,2021-06-23,+39 936 894 622
57,Central Partners 00057,United Kingdom,Manchester,horeca,2021-06-26,+1 796 042 297
58,Alfa Wholesale 00058,Czech Republic,Ostrava,horeca,2021-06-28,+33 022 455 577
59,North Trading 00059,Austria,Salzburg,wholesale,2021-07-02,+49 284 578 363
60,Silver Market 00060,Netherlands,Eindhoven,wholesale,2021-07-11,+48 740 995 147
61,Amber Cafe 00061,Poland,Wroclaw,retail,2021-07-12,+33 078 799 486
62,West Market 00062,Poland,Lodz,retail,2021-07-14,+34 736 710 014
63,Urban Distribution 00063,Netherlands,Eindhoven,online,2021-07-30,+48 203 705 429
64,Royal Stores 00064,Poland,Wroclaw,retail,2021-07-30,+33 806 148 869
65,East Supplies 00065,Austria,Salzburg,horeca,2021-07-31,+34 799 350 626
66,Euro Distribution 00066,Spain,Valencia,horeca,2021-08-01,+44 877 472 085
67,Nova Stores 00067,Poland,Wroclaw,retail,2021-08-03,+34 471 123 794
68,Euro Stores 00068,USA,Austin,wholesale,2021-08-05,+48 012 756 822
69,Alfa Gourmet 00069,United Kingdom,Bristol,retail,2021-08-05,+39 079 811 629
70,West Stores 00070,Spain,Madrid,retail,2021-08-09,+49 606 449 295
71,Beta Market 00071,Canada,Vancouver,horeca,2021-08-10,+44 635 482 131
72,Beta Cafe 00072,France,Paris,online,2021-08-12,+33 551 997 906
73,Central Trading 00073,USA,Denver,distributor,2021-08-16,+49 657 992 435
74,Alfa Partners 00074,Italy,Rome,online,2021-08-28,+44 981 490 217
75,Blue Trading 00075,Austria,Salzburg,retail,2021-09-06,+49 561 396 075
76,East Wholesale 00076,Spain,Bilbao,online,2021-09-17,+49 493 890 084
77,Alfa Deli 00077,Spain,Madrid,distributor,2021-09-17,+48 519 482 788
78,Urban Market 00078,United Kingdom,London,retail,2021-09-20,+44 756 781 346
79,Amber Trading 00079,Italy,Naples,retail,2021-09-23,+49 270 249 625
80,North Market 00080,USA,Austin,horeca,2021-10-01,+33 912 202 979
81,Delta Restaurant 00081,Germany,Munich,wholesale,2021-10-02,+33 224 272 041
