customer_id,company_name,country,city,customer_type,registration_date,phone
1,Silver Gourmet 00001,Italy,Florence,retail,2021-01-01,+49 560 607 273
2,Amber Stores 00002,France,Lyon,horeca,2021-01-01,+48 116 178 289
3,Beta Trading 00003,Austria,Linz,retail,2021-01-03,+39 387 068 016
4,Silver Distribution 00004,Poland,Gdansk,horeca,2021-01-04,+48 313 990 695
5,Green Stores 00005,France,Lyon,wholesale,2021-01-04,+39 802 955 733
6,Global Trading 00006,Netherlands,Utrecht,retail,2021-01-04,+48 370 081 703
7,Urban Restaurant 00007,Poland,Krakow,online,2021-01-04,+39 395 380 640
8,Amber Foods 00008,Netherlands,Utrecht,horeca,2021-01-05,+49 254 837 704
9,Global Gourmet 00009,Austria,Salzburg,retail,2021-01-06,+44 218 492 784
10,Global Foods 00010,Czech Republic,Ostrava,retail,2021-01-07,+1 923 395 382
11,Central Trading 00011,Germany,Hamburg,retail,2021-01-08,+34 984 092 043
12,Global Gourmet 00012,Germany,Berlin,wholesale,2021-01-08,+49 883 729 607
13,Fresh Foods 00013,Italy,Rome,retail,2021-01-08,+34 975 518 583
14,Delta Kitchen 00014,USA,Boston,online,2021-01-08,+33 533 125 689
15,Amber Trading 00015,United Kingdom,Liverpool,online,2021-01-09,+34 590 062 585
16,Delta Foods 00016,Norway,Bergen,retail,2021-01-09,+44 272 570 942
17,Beta Trading 00017,Poland,Lodz,horeca,2021-01-09,+33 348 475 416
18,East Gourmet 00018,Sweden,Gothenburg,retail,2021-01-09,+39 330 143 128
19,Global Group 00019,Poland,Wroclaw,retail,2021-01-10,+48 146 342 585
20,Beta Gourmet 00020,Poland,Krakow,wholesale,2021-01-10,+33 453 322 651
21,Delta Partners 00021,Austria,Linz,online,2021-01-10,+34 692 742 873
22,Gamma Trading 00022,Norway,Trondheim,retail,2021-01-10,+33 944 376 843
23,Gamma Wholesale 00023,Poland,Wroclaw,retail,2021-01-11,+1 709 494 818
24,Amber Kitchen 00024,Czech Republic,Ostrava,retail,2021-01-11,+48 858 182 083
25,Royal Market 00025,Poland,Wroclaw,retail,2021-01-13,+39 715 539 365
26,Global Foods 00026,Czech Republic,Brno,retail,2021-01-14,+48 507 605 182
27,Royal Cafe 00027,Czech Republic,Pilsen,retail,2021-01-15,+1 665 124 022
28,Green Deli 00028,France,Paris,horeca,2021-01-16,+34 648 626 218
29,East Supplies 00029,United Kingdom,Manchester,online,2021-01-16,+34 525 129 058
