product_id,product_name,category_id,base_price,is_discontinued
1,Golden Coffee 001,1,28.36,0
2,Organic Cereal 002,8,28.85,0
3,Natural Cleaner 003,12,60.58,0
4,Organic Chocolate 004,6,7.21,0
5,Salted Nuts 005,11,25.49,1
6,Premium Pepper 006,9,10.78,0
7,Fresh Napkins 007,12,14.67,0
8,Dried Juice 008,1,4.98,0
9,Imported Coffee 009,1,24.62,0
10,Imported Pizza 010,10,52.05,0
11,Smoked Coffee 011,1,34.84,0
12,Local Tuna 012,3,83.57,0
13,Classic Tuna 013,3,37.19,0
14,Natural Soap 014,12,25.2,0
15,Natural Soap 015,12,10.83,0
16,Classic Cake 016,5,5.19,0
17,Organic Juice 017,1,15.45,0
18,Dried Soda 018,1,17.32,0
19,Organic Soda 019,1,26.61,0
20,Dried Oats 020,8,31.73,0
21,Local Soap 021,12,29.01,0
22,Traditional Chocolate 022,6,15.47,1
23,Fresh Coffee 023,1,23.59,0
24,Premium Ham 024,4,49.21,0
25,Imported Popcorn 025,11,12.22,0
26,Organic Soap 026,12,15.62,0
27,Imported Oats 027,8,9.57,0
28,Smoked Carrot 028,7,6.71,0
29,Family Cod 029,3,50.37,0
30,Dried Towels 030,12,4.69,0
31,Golden Pretzels 031,11,5.11,1
32,Salted Candy 032,6,18.35,0
33,Imported Pasta 033,8,11.06,0
34,Craft Chips 034,11,24.74,0
35,Classic Basil 035,9,30.01,1
36,Local Vegetables 036,10,31.63,0
37,Smoked Pretzels 037,11,18.54,0
38,Family Cereal 038,8,27.5,0
39,Premium Herring 039,3,116.37,0
40,Smoked Cereal 040,8,24.45,0
41,Salted Bags 041,12,48.97,0
42,Salted Lemonade 042,1,22.07,0
43,Classic Cod 043,3,36.25,0
44,Traditional Basil 044,9,15.39,0
45,Traditional Croissant 045,5,11.95,0
46,Fresh Juice 046,1,16.97,0
47,Salted Tomato 047,7,22.26,1
48,Local Chocolate 048,6,40.74,0
49,Organic Soda 049,1,26.24,0
50,Imported Tomato 050,7,10.87,0
51,Sweet Cleaner 051,12,45.02,0
52,Natural Bags 052,12,47.48,0
53,Organic Cheese 053,2,24.32,0
54,Organic Cereal 054,8,23.68,0
55,Fresh Mineral Water 055,1,19.3,0
56,Smoked Popcorn 056,11,27.95,0
57,Salted Basil 057,9,46.75,0
58,Sweet Cheese 058,2,8.13,0
59,Salted Cream 059,2,20.85,0
60,Local Paprika 060,9,11.98,0
61,Golden Carrot 061,7,20.1,0
62,Traditional Lemonade 062,1,36.04,0
63,Classic Basil 063,9,40.48,0
64,Imported Tea 064,1,24.61,0
65,Premium Paprika 065,9,12.08,0
66,Salted Oregano 066,9,7.72,1
67,Golden Biscuit 067,6,31.97,0
68,Traditional Rice 068,8,26.08,0
69,Local Napkins 069,12,4.14,0
70,Natural Cereal 070,8,11.88,0
71,Traditional Yogurt 071,2,7.24,0
72,Sweet Cleaner 072,12,8.58,0
73,Fresh Potato 073,7,18.85,0
74,Organic Juice 074,1,30.01,0
75,Fresh Muffin 075,5,18.62,0
76,Smoked Pizza 076,10,24.19,0
77,Golden Towels 077,12,31.2,0
78,Sweet Cinnamon 078,9,9.6,0
79,Golden Candy 079,6,19.45,0
80,Classic Butter 080,2,23.81,0
81,Sweet Coffee 081,1,24.74,0
82,Local Potato 082,7,6.58,0
83,Salted Coffee 083,1,32.47,0
84,Dried Paprika 084,9,14.8,0
85,Sweet Coffee 085,1,29.31,0
86,Dried Dessert 086,10,29.99,0
87,Natural Muffin 087,5,26.98,1
88,Sweet Caramel 088,6,34.59,0
89,Sweet Flour 089,8,17.56,0
90,Imported Fries 090,10,52.66,1
91,Golden Butter 091,2,18.6,0
92,Family Tea 092,1,27.61,0
93,Fresh Cake 093,5,24.33,0
94,Imported Basil 094,9,30.44,0
95,Fresh Pretzels 095,11,19.58,0
96,Dried Bags 096,12,75.14,0
97,Golden Cream 097,2,14.87,0
98,Local Rice 098,8,12.46,0
99,Traditional Caramel 099,6,26.1,0
100,Salted Cod 100,3,61.52,0
101,Traditional Cheese 101,2,24.05,0
102,Premium Rice 102,8,23.99,0
103,Golden Pasta 103,8,28.85,0
104,Craft Popcorn 104,11,26.31,0
105,Local Cereal 105,8,5.48,0
106,Craft Flour 106,8,20.83,0
107,Craft Cinnamon 107,9,41.78,0
108,Sweet Soap 108,12,36.99,0
109,Smoked Nuts 109,11,3.77,0
110,Classic Butter 110,2,25.47,0
111,Sweet Tuna 111,3,87.36,0
112,Traditional Napkins 112,12,79.08,1
113,Smoked Apple 113,7,9.93,0
114,Classic Oregano 114,9,26.53,0
115,Traditional Tea 115,1,34.59,0
116,Classic Chicken 116,4,38.33,0
117,Smoked Carrot 117,7,9.41,0
118,Family Potato 118,7,20.47,0
119,Smoked Cookie 119,6,10.16,0
120,Imported Cleaner 120,12,4.89,0
