order_id,line_no,customer_id,company_name,order_date,order_month,country,city,customer_type,product_id,product_name,category_id,category_name,quantity,unit_price,discount,line_value,shipping_cost
100001,1,125,Gamma Kitchen 00125,2023-01-01,2023-01,Austria,Vienna,wholesale,4,Salted Cereal 004,8,Grains,5,6.84,0.0,34.2,13.12
100001,2,125,Gamma Kitchen 00125,2023-01-01,2023-01,Austria,Vienna,wholesale,107,Traditional Chips 107,11,Snacks,3,15.67,0.1,42.31,13.12
100002,1,2818,Beta Group 02818,2023-01-01,2023-01,France,Toulouse,horeca,31,Fresh Potato 031,7,Produce,4,17.56,0.0,70.24,11.46
100002,2,2818,Beta Group 02818,2023-01-01,2023-01,France,Toulouse,horeca,248,Imported Chicken 248,4,Meat,1,73.92,0.15,62.83,11.46
100002,3,2818,Beta Group 02818,2023-01-01,2023-01,France,Toulouse,horeca,100,Fresh Lemonade 100,1,Beverages,6,9.48,0.0,56.88,11.46
100003,1,431,Central Group 00431,2023-01-01,2023-01,Netherlands,Utrecht,retail,150,Local Crackers 150,11,Snacks,4,4.14,0.0,16.56,45.11
100004,1,2474,Prime Cafe 02474,2023-01-01,2023-01,Netherlands,Rotterdam,wholesale,68,Dried Tuna 068,3,Seafood,5,40.09,0.0,200.45,12.44
100004,2,2474,Prime Cafe 02474,2023-01-01,2023-01,Netherlands,Rotterdam,wholesale,62,Natural Butter 062,2,Dairy,7,6.68,0.1,42.08,12.44
100005,1,1756,Silver Group 01756,2023-01-01,2023-01,Austria,Linz,online,42,Premium Cereal 042,8,Grains,9,9.3,0.15,71.14,19.49
100005,2,1756,Silver Group 01756,2023-01-01,2023-01,Austria,Linz,online,49,Dried Pasta 049,8,Grains,3,29.24,0.0,87.72,19.49
100006,1,1294,East Cafe 01294,2023-01-01,2023-01,Italy,Milan,online,27,Traditional Bread 027,5,Bakery,4,21.98,0.15,74.73,5.53
100006,2,1294,East Cafe 01294,2023-01-01,2023-01,Italy,Milan,online,113,Natural Onion 113,7,Produce,5,1.68,0.0,8.4,5.53
100007,1,1275,Alfa Restaurant 01275,2023-01-01,2023-01,France,Toulouse,retail,178,Salted Tuna 178,3,Seafood,4,119.25,0.03,462.69,10.12
100007,2,1275,Alfa Restaurant 01275,2023-01-01,2023-01,France,Toulouse,retail,46,Organic Napkins 046,12,Household,4,16.68,0.0,66.72,10.12
100007,3,1275,Alfa Restaurant 01275,2023-01-01,2023-01,France,Toulouse,retail,229,Craft Green Tea 229,13,Coffee & Tea,4,8.41,0.0,33.64,10.12
100008,1,2544,Euro Partners 02544,2023-01-01,2023-01,France,Toulouse,wholesale,1,Classic Rice 001,8,Grains,4,7.66,0.0,30.64,22.08
100008,2,2544,Euro Partners 02544,2023-01-01,2023-01,France,Toulouse,wholesale,235,Classic Nuts 235,11,Snacks,9,5.3,0.15,40.54,22.08
100009,1,2350,Green Supplies 02350,2023-01-01,2023-01,Austria,Salzburg,horeca,117,Natural Herring 117,3,Seafood,4,47.45,0.15,161.33,24.92
100009,2,2350,Green Supplies 02350,2023-01-01,2023-01,Austria,Salzburg,horeca,40,Premium Carrot 040,7,Produce,6,13.11,0.0,78.66,24.92
100009,3,2350,Green Supplies 02350,2023-01-01,2023-01,Austria,Salzburg,horeca,44,Local Dumplings 044,10,Frozen Foods,2,44.19,0.05,83.96,24.92
100009,4,2350,Green Supplies 02350,2023-01-01,2023-01,Austria,Salzburg,horeca,229,Craft Green Tea 229,13,Coffee & Tea,3,8.39,0.0,25.17,24.92
100010,1,2095,North Cafe 02095,2023-01-01,2023-01,Czech Republic,Ostrava,horeca,228,Traditional Nuts 228,11,Snacks,4,5.67,0.05,21.55,33.76
100010,2,2095,North Cafe 02095,2023-01-01,2023-01,Czech Republic,Ostrava,horeca,136,Fresh Lemonade 136,1,Beverages,5,13.84,0.0,69.2,33.76
100011,1,2628,Beta Distribution 02628,2023-01-01,2023-01,Germany,Munich,retail,211,Premium Carrot 211,7,Produce,2,12.02,0.0,24.04,24.75
100011,2,2628,Beta Distribution 02628,2023-01-01,2023-01,Germany,Munich,retail,250,Craft Ketchup 250,14,Condiments,9,19.16,0.0,172.44,24.75
100011,3,2628,Beta Distribution 02628,2023-01-01,2023-01,Germany,Munich,retail,167,Natural Chocolate 167,6,Confections,2,7.71,0.05,14.65,24.75
100011,4,2628,Beta Distribution 02628,2023-01-01,2023-01,Germany,Munich,retail,183,Traditional Cream 183,2,Dairy,3,29.9,0.05,85.21,24.75
