order_id,line_no,customer_id,company_name,order_date,order_month,country,city,customer_type,product_id,product_name,category_id,category_name,quantity,unit_price,discount,line_value,shipping_cost
100001,1,159,Global Deli 00159,2023-01-01,2023-01,United Kingdom,Liverpool,online,1,Golden Coffee 001,1,Beverages,3,27.27,0.0,81.81,26.73
100002,1,174,Alfa Group 00174,2023-01-01,2023-01,United Kingdom,Bristol,retail,45,Traditional Croissant 045,5,Bakery,1,12.54,0.0,12.54,19.85
100002,2,174,Alfa Group 00174,2023-01-01,2023-01,United Kingdom,Bristol,retail,56,Smoked Popcorn 056,11,Snacks,9,30.7,0.0,276.3,19.85
100002,3,174,Alfa Group 00174,2023-01-01,2023-01,United Kingdom,Bristol,retail,112,Traditional Napkins 112,12,Household,2,73.05,0.2,116.88,19.85
100002,4,174,Alfa Group 00174,2023-01-01,2023-01,United Kingdom,Bristol,retail,53,Organic Cheese 053,2,Dairy,4,28.73,0.0,114.92,19.85
100003,1,30,North Supplies 00030,2023-01-01,2023-01,Germany,Frankfurt,retail,63,Classic Basil 063,9,Spices,1,43.25,0.05,41.09,5.93
100004,1,350,Euro Stores 00350,2023-01-01,2023-01,Germany,Munich,wholesale,44,Traditional Basil 044,9,Spices,5,14.29,0.0,71.45,15.48
100004,2,350,Euro Stores 00350,2023-01-01,2023-01,Germany,Munich,wholesale,13,Classic Tuna 013,3,Seafood,1,35.55,0.0,35.55,15.48
100004,3,350,Euro Stores 00350,2023-01-01,2023-01,Germany,Munich,wholesale,4,Organic Chocolate 004,6,Confections,4,6.51,0.0,26.04,15.48
100005,1,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,21,Local Soap 021,12,Household,6,30.57,0.0,183.42,11.1
100005,2,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,70,Natural Cereal 070,8,Grains,6,12.9,0.0,77.4,11.1
100005,3,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,61,Golden Carrot 061,7,Produce,4,23.62,0.03,91.65,11.1
100005,4,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,3,Natural Cleaner 003,12,Household,4,58.65,0.0,234.6,11.1
100005,5,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,2,Organic Cereal 002,8,Grains,2,28.65,0.05,54.43,11.1
100005,6,472,Silver Wholesale 00472,2023-01-01,2023-01,Czech Republic,Brno,wholesale,66,Salted Oregano 066,9,Spices,4,8.32,0.0,33.28,11.1
100006,1,217,Royal Stores 00217,2023-01-01,2023-01,Germany,Munich,online,67,Golden Biscuit 067,6,Confections,3,33.94,0.0,101.82,4.86
100007,1,387,Green Wholesale 00387,2023-01-01,2023-01,Spain,Bilbao,wholesale,4,Organic Chocolate 004,6,Confections,5,7.16,0.0,35.8,8.02
100007,2,387,Green Wholesale 00387,2023-01-01,2023-01,Spain,Bilbao,wholesale,60,Local Paprika 060,9,Spices,7,11.7,0.05,77.8,8.02
100007,3,387,Green Wholesale 00387,2023-01-01,2023-01,Spain,Bilbao,wholesale,72,Sweet Cleaner 072,12,Household,5,8.06,0.05,38.29,8.02
100007,4,387,Green Wholesale 00387,2023-01-01,2023-01,Spain,Bilbao,wholesale,81,Sweet Coffee 081,1,Beverages,3,25.59,0.0,76.77,8.02
100007,5,387,Green Wholesale 00387,2023-01-01,2023-01,Spain,Bilbao,wholesale,98,Local Rice 098,8,Grains,8,12.15,0.05,92.34,8.02
100008,1,101,Gamma Partners 00101,2023-01-01,2023-01,Poland,Lodz,retail,78,Sweet Cinnamon 078,9,Spices,2,9.94,0.15,16.9,22.46
100008,2,101,Gamma Partners 00101,2023-01-01,2023-01,Poland,Lodz,retail,90,Imported Fries 090,10,Frozen Foods,14,51.32,0.0,718.48,22.46
100008,3,101,Gamma Partners 00101,2023-01-01,2023-01,Poland,Lodz,retail,95,Fresh Pretzels 095,11,Snacks,1,20.4,0.0,20.4,22.46
100009,1,359,North Partners 00359,2023-01-01,2023-01,France,Paris,retail,59,Salted Cream 059,2,Dairy,3,21.43,0.0,64.29,14.22
100009,2,359,North Partners 00359,2023-01-01,2023-01,France,Paris,retail,97,Golden Cream 097,2,Dairy,2,15.42,0.0,30.84,14.22
100009,3,359,North Partners 00359,2023-01-01,2023-01,France,Paris,retail,34,Craft Chips 034,11,Snacks,2,24.84,0.15,42.23,14.22
100010,1,64,Royal Stores 00064,2023-01-01,2023-01,Poland,Wroclaw,retail,40,Smoked Cereal 040,8,Grains,9,23.15,0.0,208.35,9.87
100010,2,64,Royal Stores 00064,2023-01-01,2023-01,Poland,Wroclaw,retail,59,Salted Cream 059,2,Dairy,4,23.29,0.0,93.16,9.87
100010,3,64,Royal Stores 00064,2023-01-01,2023-01,Poland,Wroclaw,retail,108,Sweet Soap 108,12,Household,7,31.0,0.0,217.0,9.87
100010,4,64,Royal Stores 00064,2023-01-01,2023-01,Poland,Wroclaw,retail,32,Salted Candy 032,6,Confections,3,18.26,0.0,54.78,9.87
