order_id,line_no,product_id,unit_price,quantity,discount
100001,1,4,6.84,5,0.0
100001,2,107,15.67,3,0.1
100002,1,31,17.56,4,0.0
100002,2,248,73.92,1,0.15
100002,3,100,9.48,6,0.0
100003,1,150,4.14,4,0.0
100004,1,68,40.09,5,0.0
100004,2,62,6.68,7,0.1
100005,1,42,9.3,9,0.15
100005,2,49,29.24,3,0.0
100006,1,27,21.98,4,0.15
100006,2,113,1.68,5,0.0
100007,1,178,119.25,4,0.03
100007,2,46,16.68,4,0.0
100007,3,229,8.41,4,0.0
100008,1,1,7.66,4,0.0
100008,2,235,5.3,9,0.15
100009,1,117,47.45,4,0.15
100009,2,40,13.11,6,0.0
100009,3,44,44.19,2,0.05
100009,4,229,8.39,3,0.0
100010,1,228,5.67,4,0.05
100010,2,136,13.84,5,0.0
100011,1,211,12.02,2,0.0
100011,2,250,19.16,9,0.0
100011,3,167,7.71,2,0.05
100011,4,183,29.9,3,0.05
100011,5,77,29.92,3,0.05
100012,1,79,7.9,2,0.05
100012,2,242,13.92,7,0.1
100012,3,248,78.08,5,0.0
100012,4,240,26.0,6,0.0
100012,5,48,9.28,3,0.0
100013,1,152,39.99,2,0.0
100013,2,231,50.11,3,0.0
100014,1,240,21.59,3,0.0
100014,2,120,11.38,10,0.0
100014,3,175,16.12,6,0.05
100014,4,142,11.09,2,0.0
100014,5,33,20.85,7,0.1
100015,1,219,25.42,6,0.05
100015,2,143,30.42,10,0.1
100016,1,17,11.58,1,0.03
100016,2,171,25.75,1,0.0
100016,3,36,115.5,3,0.05
100016,4,70,17.81,2,0.05
100017,1,28,9.3,1,0.0
100017,2,93,16.92,8,0.05
100017,3,200,3.71,2,0.0
100018,1,132,41.45,9,0.05
100018,2,191,29.21,8,0.0
100018,3,157,94.08,3,0.05
100018,4,15,19.15,3,0.0
100018,5,202,25.61,1,0.05
100019,1,82,12.1,3,0.05
100019,2,26,10.43,9,0.1
100019,3,219,23.55,11,0.1
100019,4,18,56.78,4,0.0
100019,5,142,11.57,1,0.15
100019,6,110,5.56,5,0.1
100019,7,28,7.65,6,0.0
100019,8,217,22.02,3,0.0
100020,1,130,4.65,6,0.0
100020,2,215,9.06,1,0.03
100020,3,117,46.78,2,0.1
100020,4,124,33.53,3,0.2
100021,1,36,111.19,1,0.05
100022,1,40,15.88,4,0.05
100022,2,46,17.0,4,0.0
100022,3,211,11.54,2,0.0
100022,4,49,28.18,3,0.1
100023,1,113,1.87,1,0.1
100023,2,244,14.53,3,0.0
100023,3,189,21.08,9,0.03
100023,4,30,37.98,3,0.03
100023,5,121,32.56,3,0.03
100023,6,110,6.12,2,0.03
100024,1,172,28.59,2,0.05
100025,1,248,70.21,5,0.0
100025,2,41,16.9,2,0.0
100025,3,46,18.27,5,0.0
100025,4,188,59.83,1,0.05
100025,5,136,11.86,9,0.0
100025,6,14,10.41,3,0.0
100026,1,67,23.59,3,0.0
100027,1,246,8.01,7,0.05
100027,2,111,9.91,5,0.0
100027,3,167,10.66,4,0.1
100028,1,113,1.98,3,0.0
100028,2,235,5.09,6,0.0
100028,3,193,36.71,3,0.1
100029,1,125,23.57,1,0.0
100029,2,221,121.75,9,0.0
100029,3,217,22.58,6,0.0
