customer_id,company_name,country,city,customer_type,registration_date,phone
1,Urban Restaurant 00001,Germany,Frankfurt,retail,01/01/2021,+39 348 578 422
2,Royal Deli 00002,uk,Bristol,wholesale,2021-01-02,+34 413 571 963
3,West Cafe 00003,Spain,Bilbao,retail,2021-01-03,+34 241 217 690
4,Baltic Deli 00004,Italy,Turin,horeca,01/07/2021,+33 174 868 391
5,Amber Distribution 00005,Poland,Wroclaw,retail,08/01/2021,+44 145 073 670
6,Central Gourmet 00006,Poland,Gdansk,wholesale,2021-01-21,+1 433 790 294
7,Green Gourmet 00007,Germany,Cologne,retail,2021-01-30,+44 405 443 273
8,North Foods 00008,Sweden,Uppsala,wholesale,2021-02-02,+44 906 875 500
9,Central Restaurant 00009,Spain,Barcelona,wholesale,2021-02-03,+49 111 080 762
10, Green Cafe 00010 ,Poland,Gdansk,online,02/04/2021,+34 933 928 517
11,Alfa Deli 00011,France,Toulouse,retail,02/06/2021,+49 459 861 063
12,West Foods 00012,Sweden,Stockholm,horeca,"Feb 12, 2021",+34 741 031 162
13,Beta Market 00013,,Florence,wholesale,2021-02-21,+49 319 670 137
14,Fresh Stores 00014,Netherlands,Eindhoven,wholesale,02/22/2021,
15,Urban Restaurant 00015,Spain,Seville,horeca,2021-02-26,+48 272 229 073
16,Urban Partners 00016,Sweden,Uppsala,retail,06/03/2021,+33 380 686 040
17,East Market 00017,FR,Lyon,wholesale,2021-03-07,+39 162 824 060
18,Gamma Deli 00018,Sweden,Malmo,retail,10.03.2021,+1 901 458 101
19,Prime Distribution 00019,US,Denver,wholesale,2021-03-17,+44 697 361 589
20,Delta Foods 00020,Netherlands,Rotterdam,wholesale,2021-03-19,+33 027 694 074
21,Baltic Foods 00021,Canada,Vancouver,online,03/19/2021,+39 866 973 548
22, Alfa Gourmet 00022 ,USA,New York,horeca,03/19/2021,+33 005 735 506
23,Baltic Kitchen 00023,USA,Chicago,horeca,03/23/2021,+48 644 909 518
24,Silver Foods 00024,,Warsaw,retail,03/26/2021,+39 944 983 685
25,Delta Group 00025,Netherlands,Amsterdam,horeca,2021-03-26,+48 741 461 647
26,Urban Kitchen 00026,US,Chicago,distributor,2021-03-29,+34 689 227 913
27,East Market 00027,Polska,Krakow,retail,2021-03-30,+34 710 066 657
28,Green Market 00028,U.S.A.,Chicago,horeca,31.03.2021,
29,Gamma Trading 00029,USA,Chicago,retail,06.04.2021,+44 828 492 611
30,North Supplies 00030,Deutschland,Frankfurt,retail,2021-04-06,+49 111 066 794
31,Euro Cafe 00031,Canada,Montreal,retail,2021-04-07,+39 848 295 323
32,Euro Cafe 00032,Great Britain,Manchester,retail,"Apr 11, 2021",+39 883 294 850
33,Central Wholesale 00033,USA,Seattle,retail,15/04/2021,+1 996 443 249
34,Euro Cafe 00034,Canada,Vancouver,horeca,2021-04-17,+1 899 918 339
